esriid,TotHUs,pctOccHUs,pctOwnerOcc,pctRenterOcc,AvgOwnerHHSize,AvgRenterHHSize,pctVacantForSale,pctVacantForRent,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow,pctPersonsPerRoomMedium,pctPersonsPerRoomHigh,MedianHValue,MedianGrossRent
  ,Total housing units ,pctOccHUs ,pctOwnerOcc ,pctRenterOcc ,Average household size of owner-occupied unit ,Average household size of renter-occupied unit ,pctVacantForSale ,pctVacantForRent ,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow ,pctPersonsPerRoomMedium ,pctPersonsPerRoomHigh ,Median home value ,Median rent 
11212,33532.00,91.50,14.70,85.30,3.10,2.66,2.80,32.30,43.10,2.50,7.50,9.10,19.70,10.80,6.90,39.80,91.50,5.70,2.80,383200.00,936.00
11213,26184.00,90.40,15.10,84.90,3.51,2.46,6.20,36.10,44.30,2.70,3.30,4.10,5.40,8.10,6.50,65.00,90.40,6.70,2.90,599600.00,1064.00
11214,33251.00,94.20,34.20,65.80,3.07,2.64,14.90,26.40,29.30,3.30,2.70,6.10,12.40,13.20,14.50,43.20,88.90,7.90,3.30,616600.00,1163.00
11215,31230.00,92.80,37.20,62.80,2.80,2.17,7.60,13.50,14.40,1.00,2.30,2.40,3.00,3.50,3.80,75.90,95.90,2.60,1.50,937700.00,1860.00
11216,26889.00,86.30,21.30,78.70,2.77,2.19,5.40,27.20,18.60,2.10,2.10,4.30,4.70,4.70,5.10,71.80,93.40,2.30,4.30,646600.00,1146.00
11217,18371.00,90.90,29.60,70.40,2.52,2.13,7.00,22.20,29.70,2.50,2.10,2.50,3.40,7.30,6.40,66.20,95.20,2.40,2.40,890100.00,1735.00
11218,26201.00,94.80,33.40,66.60,3.04,2.97,11.60,31.00,44.40,1.50,2.20,3.90,14.60,12.40,10.80,51.40,85.10,10.10,4.80,571800.00,1375.00
11219,28511.00,93.30,24.80,75.20,3.66,3.68,7.90,30.70,21.90,3.60,4.60,4.30,5.70,5.70,7.60,62.30,75.50,15.50,9.00,746900.00,1209.00
11220,31950.00,92.70,24.20,75.80,3.49,3.40,8.00,38.90,15.00,1.80,2.70,5.20,4.50,4.50,8.20,68.90,75.80,15.30,8.90,617000.00,1184.00
11221,32935.00,87.40,20.70,79.30,3.41,2.73,10.10,40.40,16.30,5.60,4.00,4.90,3.50,2.60,4.10,66.60,89.70,6.30,4.00,541100.00,1135.00
11222,18614.00,89.50,20.80,79.20,2.36,1.99,7.20,23.90,8.20,2.60,1.80,2.00,8.30,8.60,6.90,61.50,96.30,2.10,1.60,702800.00,1565.00
11223,29833.00,91.50,37.60,62.40,3.27,2.52,11.30,25.60,31.60,1.20,1.50,2.50,9.20,15.90,12.50,52.80,90.80,6.50,2.70,612400.00,1120.00
