esriid,FamsWithKids,pctFamsWithKids,pctSingleFathers,pctSingleMothers,HHsWithKids,pctHHsWithKids,AvgFamSize,pctLessThan9th,pctSomeHighSchool,pctHighSchool,pctSomeCollege,pctAssociates,pctBachelors,pctGradProf,pctHighSchoolOrMore,pctBachelorsormore,pctVeteran,pctUSNative,pctBornInUS,pctOthLangEnglishLTD,pctSpanishEnglishLTD
  ,With own children under 18 years,pctFamsWithKids ,pctSingleFathers ,pctSingleMothers ,Households with one or more people under 18 years,pctHHsWithKids ,Average family size ,pctLessThan9th,pctSomeHighSchool ,pctHighSchool ,pctSomeCollege ,pctAssociates ,pctBachelors ,pctGradProf ,pctHighSchoolOrMore ,pctBachelorsormore ,pctVeteran ,pctUSNative ,pctBornInUS ,pctOthLangEnglishLTD ,pctSpanishEnglishLTD
11364,3767.00,28.50,0.80,3.10,3992.00,30.20,3.33,5.80,4.40,22.40,14.80,6.90,27.30,18.30,89.80,45.60,3.50,53.80,97.50,50.20,34.00
11365,4809.00,31.30,1.00,5.00,5216.00,33.90,3.39,7.10,7.00,23.30,16.80,10.30,20.60,14.90,85.90,35.50,4.30,53.80,95.90,48.90,33.90
11366,1278.00,29.70,0.50,2.40,1363.00,31.60,3.40,4.60,6.50,22.20,13.70,7.30,27.00,18.70,88.90,45.70,3.10,52.10,97.60,44.30,35.80
11367,4396.00,30.10,1.10,4.90,4761.00,32.60,3.48,6.80,6.70,25.30,12.20,8.40,23.60,17.00,86.50,40.60,2.40,60.90,96.60,43.00,36.00
11368,11460.00,39.50,7.20,12.10,13627.00,46.90,3.95,27.40,12.50,30.80,12.50,5.60,7.90,3.40,60.10,11.30,0.90,38.50,95.40,62.30,63.50
11369,3609.00,31.10,3.00,8.60,4545.00,39.20,3.86,14.30,8.90,37.60,14.00,6.30,12.50,6.50,76.80,19.00,1.90,41.90,95.10,50.10,53.00
11370,2817.00,32.60,2.30,7.20,3084.00,35.70,3.73,11.60,17.60,31.40,10.80,8.30,12.90,7.40,70.80,20.30,2.10,51.20,93.70,52.00,59.40
11371,0.00,,,,0.00,,,,,,,,,,,,,,,,
11372,6385.00,26.20,3.00,6.60,6947.00,28.50,3.33,13.00,11.00,24.80,13.60,7.30,19.90,10.40,76.00,30.30,1.50,38.80,93.90,56.40,58.10
11373,9788.00,30.80,3.30,6.00,11035.00,34.70,3.62,17.00,11.80,24.60,12.80,7.40,18.90,7.60,71.20,26.50,1.40,30.90,95.90,64.60,63.10
11374,3585.00,18.50,1.40,4.10,3846.00,19.80,2.97,5.20,4.30,19.90,13.30,10.10,29.50,17.70,90.50,47.20,2.20,43.20,96.00,47.10,39.40
11375,6708.00,21.10,0.80,3.00,7096.00,22.40,3.03,4.30,2.80,16.70,12.10,6.90,30.40,26.80,92.90,57.20,2.90,54.20,95.80,38.10,27.50
11377,8699.00,27.60,2.60,5.00,9673.00,30.70,3.41,14.10,12.00,25.00,12.40,8.30,19.40,8.80,73.90,28.20,2.50,42.20,94.30,53.10,54.50
11378,3038.00,24.30,3.20,5.10,3297.00,26.40,3.26,7.60,7.90,34.80,16.40,8.50,17.00,7.80,84.50,24.80,4.10,61.10,95.90,44.00,39.70
11379,3439.00,25.10,1.90,3.90,3726.00,27.20,3.24,8.10,7.20,30.50,16.50,6.70,19.60,11.40,84.80,31.00,4.20,67.10,97.40,42.20,31.80
11385,11180.00,32.30,2.00,9.80,12335.00,35.60,3.46,12.10,8.80,35.00,17.10,5.90,14.60,6.60,79.20,21.20,2.30,59.60,94.30,45.00,41.30
11411,1373.00,22.60,1.50,4.90,2016.00,33.10,3.64,4.00,6.10,30.90,21.70,7.20,18.20,12.00,89.90,30.20,5.90,61.10,97.30,34.00,32.00
11412,3443.00,31.10,2.50,10.90,4644.00,42.00,3.83,5.20,7.30,30.70,23.50,11.50,14.60,7.10,87.50,21.70,4.10,64.30,98.00,36.90,31.40
11413,4020.00,32.80,1.60,11.60,5111.00,41.70,3.82,4.30,8.80,27.60,23.40,9.90,16.10,9.80,86.90,25.90,4.40,62.60,98.30,29.70,18.60
11414,2750.00,25.50,1.80,4.50,3199.00,29.60,3.15,6.00,8.10,34.00,15.20,9.20,18.60,8.90,85.80,27.50,7.00,81.10,95.10,28.80,23.20
